datetime;demand
2022-05-01T00:00:00.000+02:00;21901
2022-05-01T00:10:00.000+02:00;21671
2022-05-01T00:20:00.000+02:00;21354
2022-05-01T00:30:00.000+02:00;20990
2022-05-01T00:40:00.000+02:00;21063
2022-05-01T00:50:00.000+02:00;20637
2022-05-01T01:00:00.000+02:00;20496
2022-05-01T01:10:00.000+02:00;20458
2022-05-01T01:20:00.000+02:00;19936
2022-05-01T01:30:00.000+02:00;19915
2022-05-01T01:40:00.000+02:00;19686
2022-05-01T01:50:00.000+02:00;19527
2022-05-01T02:00:00.000+02:00;19295
2022-05-01T02:10:00.000+02:00;19211
2022-05-01T02:20:00.000+02:00;19012
2022-05-01T02:30:00.000+02:00;18844
2022-05-01T02:40:00.000+02:00;18908
2022-05-01T02:50:00.000+02:00;18802
2022-05-01T03:00:00.000+02:00;18564
2022-05-01T03:10:00.000+02:00;18493
2022-05-01T03:20:00.000+02:00;18394
2022-05-01T03:30:00.000+02:00;18291
2022-05-01T03:40:00.000+02:00;18308
2022-05-01T03:50:00.000+02:00;18123
2022-05-01T04:00:00.000+02:00;18169
2022-05-01T04:10:00.000+02:00;18136
2022-05-01T04:20:00.000+02:00;17997
2022-05-01T04:30:00.000+02:00;17996
2022-05-01T04:40:00.000+02:00;18000
2022-05-01T04:50:00.000+02:00;18010
2022-05-01T05:00:00.000+02:00;17825
2022-05-01T05:10:00.000+02:00;17963
2022-05-01T05:20:00.000+02:00;18012
2022-05-01T05:30:00.000+02:00;18022
2022-05-01T05:40:00.000+02:00;17892
2022-05-01T05:50:00.000+02:00;17887
2022-05-01T06:00:00.000+02:00;17811
2022-05-01T06:10:00.000+02:00;18000
2022-05-01T06:20:00.000+02:00;18073
2022-05-01T06:30:00.000+02:00;17954
2022-05-01T06:40:00.000+02:00;18052
2022-05-01T06:50:00.000+02:00;17908
2022-05-01T07:00:00.000+02:00;17790
2022-05-01T07:10:00.000+02:00;17852
2022-05-01T07:20:00.000+02:00;17744
2022-05-01T07:30:00.000+02:00;17683
2022-05-01T07:40:00.000+02:00;17814
2022-05-01T07:50:00.000+02:00;17713
2022-05-01T08:00:00.000+02:00;18061
2022-05-01T08:10:00.000+02:00;18262
2022-05-01T08:20:00.000+02:00;18576
2022-05-01T08:30:00.000+02:00;18826
2022-05-01T08:40:00.000+02:00;19065
2022-05-01T08:50:00.000+02:00;19232
2022-05-01T09:00:00.000+02:00;19627
2022-05-01T09:10:00.000+02:00;19867
2022-05-01T09:20:00.000+02:00;20181
2022-05-01T09:30:00.000+02:00;20425
2022-05-01T09:40:00.000+02:00;20610
2022-05-01T09:50:00.000+02:00;20949
